"Name","SI","Handles","VM","WS","PM","NPM","Path","CommandLine","Parent","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","SafeHandle","Handle","BasePriority","ExitCode","HasExited","StartTime","ExitTime","Id","MachineName","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize64","NonpagedSystemMemorySize","PagedMemorySize64","PagedMemorySize","PagedSystemMemorySize64","PagedSystemMemorySize","PeakPagedMemorySize64","PeakPagedMemorySize","PeakWorkingSet64","PeakWorkingSet","PeakVirtualMemorySize64","PeakVirtualMemorySize","PriorityBoostEnabled","PriorityClass","PrivateMemorySize64","PrivateMemorySize","ProcessorAffinity","SessionId","StartInfo","Threads","HandleCount","VirtualMemorySize64","VirtualMemorySize","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet64","WorkingSet","SynchronizingObject","MainModule","PrivilegedProcessorTime","TotalProcessorTime","UserProcessorTime","ProcessName","MainWindowHandle","MainWindowTitle","Responding","Site","Container"
"Code","1","348","3695559843840","171552768","134803456","33544","C:\Users\StevePaylor\AppData\Local\Programs\Microsoft VS Code\Code.exe","""C:\Users\StevePaylor\AppData\Local\Programs\Microsoft VS Code\Code.exe"" --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-US --service-sandbox-type=none --video-capture-use-gpu-memory-buffer --user-data-dir=""C:\Users\StevePaylor\AppData\Roaming\Code"" --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --field-trial-handle=1676,i,17323854541520974568,9933137866804768006,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EnableTransparentHwndEnlargement,EstablishGpuChannelAsync --disable-features=CalculateNativeWinOcclusion,LocalNetworkAccessChecks,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TraceSiteInstanceGetProcessCreation --variations-seed-version --trace-process-track-uuid=3190708990997080739 --mojo-platform-channel-handle=3476 /prefetch:14","System.Diagnostics.Process (Code)","Microsoft Corporation","51.46875","1.109.0","1.109.0","Visual Studio Code","Visual Studio Code","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3544","8",,"False","2/6/2026 8:58:24 AM",,"9960",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","33544","33544","134803456","134803456","621048","621048","228839424","228839424","255328256","255328256","3695634296832","1962422272","True","Normal","134803456","134803456","4095","1",,"System.Diagnostics.ProcessThreadCollection","348","3695559843840","1887969280","False",,,,"171552768","171552768",,"System.Diagnostics.ProcessModule (Code.exe)","00:00:13.7968750","00:00:51.5468750","00:00:37.7500000","Code","0","","True",,
"Code","1","534","3712788480000","554975232","521273344","79608","C:\Users\StevePaylor\AppData\Local\Programs\Microsoft VS Code\Code.exe","""C:\Users\StevePaylor\AppData\Local\Programs\Microsoft VS Code\Code.exe"" --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-US --service-sandbox-type=none --dns-result-order=ipv4first --experimental-network-inspection --inspect-port=0 --video-capture-use-gpu-memory-buffer --user-data-dir=""C:\Users\StevePaylor\AppData\Roaming\Code"" --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --field-trial-handle=1676,i,17323854541520974568,9933137866804768006,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EnableTransparentHwndEnlargement,EstablishGpuChannelAsync --disable-features=CalculateNativeWinOcclusion,LocalNetworkAccessChecks,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TraceSiteInstanceGetProcessCreation --variations-seed-version --trace-process-track-uuid=3190708992871164437 --mojo-platform-channel-handle=3760 /prefetch:14","System.Diagnostics.Process (Code)","Microsoft Corporation","36.125","1.109.0","1.109.0","Visual Studio Code","Visual Studio Code","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","2260","8",,"False","2/6/2026 8:58:24 AM",,"11928",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","79608","79608","521273344","521273344","693928","693928","549527552","549527552","577560576","577560576","3712843378688","1991634944","True","Normal","521273344","521273344","4095","1",,"System.Diagnostics.ProcessThreadCollection","534","3712788480000","1936736256","False",,,,"554975232","554975232",,"System.Diagnostics.ProcessModule (Code.exe)","00:00:10.4062500","00:00:36.1250000","00:00:25.7187500","Code","0","","True",,
"Code","1","389","3699112656896","150007808","120913920","43200","C:\Users\StevePaylor\AppData\Local\Programs\Microsoft VS Code\Code.exe","""C:\Users\StevePaylor\AppData\Local\Programs\Microsoft VS Code\Code.exe"" --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-US --service-sandbox-type=none --video-capture-use-gpu-memory-buffer --user-data-dir=""C:\Users\StevePaylor\AppData\Roaming\Code"" --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --field-trial-handle=1676,i,17323854541520974568,9933137866804768006,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EnableTransparentHwndEnlargement,EstablishGpuChannelAsync --disable-features=CalculateNativeWinOcclusion,LocalNetworkAccessChecks,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TraceSiteInstanceGetProcessCreation --variations-seed-version --trace-process-track-uuid=3190708993808206286 --mojo-platform-channel-handle=3960 /prefetch:14","System.Diagnostics.Process (Code)","Microsoft Corporation","75.0625","1.109.0","1.109.0","Visual Studio Code","Visual Studio Code","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","4712","8",,"False","2/6/2026 8:58:24 AM",,"15776",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","43200","43200","120913920","120913920","654104","654104","122773504","122773504","151736320","151736320","3699144884224","1178042368","True","Normal","120913920","120913920","4095","1",,"System.Diagnostics.ProcessThreadCollection","389","3699112656896","1145815040","False",,,,"150007808","150007808",,"System.Diagnostics.ProcessModule (Code.exe)","00:00:47.0468750","00:01:15.0625000","00:00:28.0156250","Code","0","","True",,
"Code","1","186","3693665316864","105705472","26963968","22656","C:\Users\StevePaylor\AppData\Local\Programs\Microsoft VS Code\Code.exe","""C:\Users\StevePaylor\AppData\Local\Programs\Microsoft VS Code\Code.exe"" c:\Users\StevePaylor\.vscode\extensions\ms-edgedevtools.vscode-edge-devtools-2.1.10\node_modules\vscode-webhint\dist\src\server.js c:\Users\StevePaylor\AppData\Roaming\Code\User\globalStorage\ms-edgedevtools.vscode-edge-devtools ""Microsoft Edge Tools"" --node-ipc --clientProcessId=11928","System.Diagnostics.Process (Code)","Microsoft Corporation","1.6875","1.109.0","1.109.0","Visual Studio Code","Visual Studio Code","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3440","8",,"False","2/6/2026 8:58:27 AM",,"17476",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","22656","22656","26963968","26963968","590224","590224","27226112","27226112","105922560","105922560","3693690527744","18653184","True","Normal","26963968","26963968","4095","1",,"System.Diagnostics.ProcessThreadCollection","186","3693665316864","-6557696","False",,,,"105705472","105705472",,"System.Diagnostics.ProcessModule (Code.exe)","00:00:00.4218750","00:00:01.6875000","00:00:01.2656250","Code","0","","True",,
"Code","1","244","2255244349440","37879808","11096064","12920","C:\Users\StevePaylor\AppData\Local\Programs\Microsoft VS Code\Code.exe","""C:\Users\StevePaylor\AppData\Local\Programs\Microsoft VS Code\Code.exe"" --type=crashpad-handler --user-data-dir=C:\Users\StevePaylor\AppData\Roaming\Code /prefetch:4 --no-rate-limit --monitor-self-annotation=ptype=crashpad-handler --database=C:\Users\StevePaylor\AppData\Roaming\Code\Crashpad --url=appcenter://code?aid=a4e3233c-699c-46ec-b4f4-9c2a77254662&uid=b9f3bb03-6ad8-451b-9bc3-73f66086d6f0&iid=b9f3bb03-6ad8-451b-9bc3-73f66086d6f0&sid=b9f3bb03-6ad8-451b-9bc3-73f66086d6f0 --annotation=_companyName=Microsoft --annotation=_productName=VSCode --annotation=_version=1.109.0 --annotation=plat=Win64 --annotation=prod=Electron --annotation=ver=39.3.0 --initial-client-data=0x4e0,0x4e4,0x4e8,0x4dc,0x4ec,0x7ff739b111ec,0x7ff739b111f8,0x7ff739b11208","System.Diagnostics.Process (Code)","Microsoft Corporation","0.09375","1.109.0","1.109.0","Visual Studio Code","Visual Studio Code","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3452","8",,"False","2/6/2026 8:58:23 AM",,"18336",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","12920","12920","11096064","11096064","568576","568576","11177984","11177984","37916672","37916672","2255261171712","403341312","True","Normal","11096064","11096064","4095","1",,"System.Diagnostics.ProcessThreadCollection","244","2255244349440","386519040","False",,,,"37879808","37879808",,"System.Diagnostics.ProcessModule (Code.exe)","00:00:00.0468750","00:00:00.0937500","00:00:00.0468750","Code","0","","True",,
"Code","1","529","3716339421184","378208256","337162240","56640","C:\Users\StevePaylor\AppData\Local\Programs\Microsoft VS Code\Code.exe","""C:\Users\StevePaylor\AppData\Local\Programs\Microsoft VS Code\Code.exe"" --type=renderer --user-data-dir=""C:\Users\StevePaylor\AppData\Roaming\Code"" --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --app-user-model-id=Microsoft.VisualStudioCode --app-path=""C:\Users\StevePaylor\AppData\Local\Programs\Microsoft VS Code\bdd88df003\resources\app"" --enable-sandbox --enable-blink-features=HighlightAPI --max-active-webgl-contexts=32 --disable-blink-features=FontMatchingCTMigration,StandardizedBrowserZoom, --video-capture-use-gpu-memory-buffer --lang=en-US --device-scale-factor=1.25 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=4 --time-ticks-at-unix-epoch=-1770394691914623 --launch-time-ticks=2411513869 --field-trial-handle=1676,i,17323854541520974568,9933137866804768006,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EnableTransparentHwndEnlargement,EstablishGpuChannelAsync --disable-features=CalculateNativeWinOcclusion,LocalNetworkAccessChecks,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TraceSiteInstanceGetProcessCreation --variations-seed-version --trace-process-track-uuid=3190708990060038890 --mojo-platform-channel-handle=3108 --vscode-window-config=vscode:afe727c3-cd49-4584-9175-0258558b0a25 /prefetch:1","System.Diagnostics.Process (Code)","Microsoft Corporation","341.609375","1.109.0","1.109.0","Visual Studio Code","Visual Studio Code","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3496","8",,"False","2/6/2026 8:58:23 AM",,"20668",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","56640","56640","337162240","337162240","796104","796104","364871680","364871680","401494016","401494016","3716342878208","1196167168","True","Normal","337162240","337162240","4095","1",,"System.Diagnostics.ProcessThreadCollection","529","3716339421184","1192710144","False",,,,"378208256","378208256",,"System.Diagnostics.ProcessModule (Code.exe)","00:01:55.1562500","00:05:41.6093750","00:03:46.4531250","Code","0","","True",,
"Code","1","1076","3695974899712","167542784","120410112","61776","C:\Users\StevePaylor\AppData\Local\Programs\Microsoft VS Code\Code.exe","""C:\Users\StevePaylor\AppData\Local\Programs\Microsoft VS Code\Code.exe"" ","System.Diagnostics.Process (explorer)","Microsoft Corporation","152.1875","1.109.0","1.109.0","Visual Studio Code","Visual Studio Code","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3680","8",,"False","2/6/2026 8:58:22 AM",,"21112",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","61776","61776","120410112","120410112","1058176","1058176","133967872","133967872","175792128","175792128","3696024227840","-1942614016","True","Normal","120410112","120410112","4095","1",,"System.Diagnostics.ProcessThreadCollection","1076","3695974899712","-1991942144","False",,,,"167542784","167542784",,"System.Diagnostics.ProcessModule (Code.exe)","00:01:29.4218750","00:02:32.1875000","00:01:02.7656250","Code","68192","● procs.CSV - Visual Studio Code","True",,
"Code","1","189","3693665316864","109330432","29700096","23024","C:\Users\StevePaylor\AppData\Local\Programs\Microsoft VS Code\Code.exe","""C:\Users\StevePaylor\AppData\Local\Programs\Microsoft VS Code\Code.exe"" ""c:\Users\StevePaylor\AppData\Local\Programs\Microsoft VS Code\bdd88df003\resources\app\extensions\json-language-features\server\dist\node\jsonServerMain"" --node-ipc --clientProcessId=11928","System.Diagnostics.Process (Code)","Microsoft Corporation","2","1.109.0","1.109.0","Visual Studio Code","Visual Studio Code","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","4528","8",,"False","2/6/2026 8:58:27 AM",,"22820",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","23024","23024","29700096","29700096","590224","590224","29863936","29863936","109477888","109477888","3693690527744","18653184","True","Normal","29700096","29700096","4095","1",,"System.Diagnostics.ProcessThreadCollection","189","3693665316864","-6557696","False",,,,"109330432","109330432",,"System.Diagnostics.ProcessModule (Code.exe)","00:00:00.7968750","00:00:02","00:00:01.2031250","Code","0","","True",,
"Code","1","449","2255393329152","57282560","16400384","34000","C:\Users\StevePaylor\AppData\Local\Programs\Microsoft VS Code\Code.exe","""C:\Users\StevePaylor\AppData\Local\Programs\Microsoft VS Code\Code.exe"" --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-US --service-sandbox-type=none --user-data-dir=""C:\Users\StevePaylor\AppData\Roaming\Code"" --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --field-trial-handle=1676,i,17323854541520974568,9933137866804768006,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EnableTransparentHwndEnlargement,EstablishGpuChannelAsync --disable-features=CalculateNativeWinOcclusion,LocalNetworkAccessChecks,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TraceSiteInstanceGetProcessCreation --variations-seed-version --trace-process-track-uuid=3190708989122997041 --mojo-platform-channel-handle=2028 /prefetch:11","System.Diagnostics.Process (Code)","Microsoft Corporation","11.90625","1.109.0","1.109.0","Visual Studio Code","Visual Studio Code","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","2520","8",,"False","2/6/2026 8:58:23 AM",,"22888",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","34000","34000","16400384","16400384","623856","623856","19992576","19992576","58433536","58433536","2255447855104","590024704","True","Normal","16400384","16400384","4095","1",,"System.Diagnostics.ProcessThreadCollection","449","2255393329152","535498752","False",,,,"57282560","57282560",,"System.Diagnostics.ProcessModule (Code.exe)","00:00:04.5937500","00:00:11.9062500","00:00:07.3125000","Code","0","","True",,
"conhost","1","113","2203416850432","9240576","1671168","10064","C:\WINDOWS\system32\conhost.exe","\\?\C:\WINDOWS\system32\conhost.exe --headless --width 80 --height 30 --signal 0x630 --server 0x628","System.Diagnostics.Process (Code)","Microsoft Corporation","3.453125","10.0.26100.1 (WinBuild.160101.0800)","10.0.26100.1","Console Window Host","Microsoft® Windows® Operating System","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","4688","8",,"False","2/6/2026 8:58:40 AM",,"1472",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","10064","10064","1671168","1671168","129544","129544","1712128","1712128","9281536","9281536","2203420008448","101785600","True","Normal","1671168","1671168","4095","1",,"System.Diagnostics.ProcessThreadCollection","113","2203416850432","98627584","False",,,,"9240576","9240576",,"System.Diagnostics.ProcessModule (conhost.exe)","00:00:02.2656250","00:00:03.4531250","00:00:01.1875000","conhost","0","","True",,
"conhost","0","77","2203392618496","7061504","1077248","7752",,,,,,,,,,"Process",,,"8",,,,,"5624",".",,,,"7752","7752","1077248","1077248","65392","65392","1159168","1159168","7110656","7110656","2203394760704","76537856",,,"1077248","1077248",,"0",,"System.Diagnostics.ProcessThreadCollection","77","2203392618496","74395648","False",,,,"7061504","7061504",,,,,,"conhost","0","","True",,
